acteurs,annee,description,duree,genre,pays,score,titre,titre_original,url
"Wil Wheaton,River Phoenix,Corey Feldman",1986,A writer recounts a childhood journey with his friends to find the body of a missing boy.,1h 29m,"Adventure,Comedy,Drama",United States,8.1,Stand by Me,,https://www.imdb.com//title/tt0092005/?ref_=chttp_i_230
"Faye Dunaway,William Holden,Peter Finch",1976,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",2h 1m,Drama,United States,8.1,Network,,https://www.imdb.com//title/tt0074958/?ref_=chttp_i_229
acteurs,annee,description,duree,genre,pays,score,titre,titre_original,url
"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong",2019,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,2h 12m,"Drama,Thriller",South Korea,8.5,Parasite,Original title: Gisaengchung,https://www.imdb.com//title/tt6751668/?ref_=chttp_i_34
"Tim Robbins,Morgan Freeman,Bob Gunton",1994,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",2h 22m,Drama,United States,9.3,The Shawshank Redemption,,https://www.imdb.com//title/tt0111161/?ref_=chttp_i_1
"Daveigh Chase,Suzanne Pleshette,Miyu Irino",2001,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts.",2h 5m,"Animation,Adventure,Family",Japan,8.6,Spirited Away,Original title: Sen to Chihiro no kamikakushi,https://www.imdb.com//title/tt0245429/?ref_=chttp_i_32
"Mark Hamill,Harrison Ford,Carrie Fisher",1977,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue ...",2h 1m,"Action,Adventure,Fantasy",United States,8.6,Star Wars: Episode IV - A New Hope,Original title: Star Wars,https://www.imdb.com//title/tt0076759/?ref_=chttp_i_30
"Adrien Brody,Thomas Kretschmann,Frank Finlay",2002,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.",2h 30m,"Biography,Drama,Music",France,8.5,The Pianist,,https://www.imdb.com//title/tt0253474/?ref_=chttp_i_33
"Arnold Schwarzenegger,Linda Hamilton,Edward Furlong",1991,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg.",2h 17m,"Action,Adventure,Sci-Fi",United States,8.6,Terminator 2: Judgment Day,,https://www.imdb.com//title/tt0103064/?ref_=chttp_i_29
"Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini",1997,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp.",1h 56m,"Comedy,Drama,Romance",Italy,8.6,Life Is Beautiful,Original title: La vita è bella,https://www.imdb.com//title/tt0118799/?ref_=chttp_i_27
"Michael J. Fox,Christopher Lloyd,Lea Thompson",1985,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",1h 56m,"Adventure,Comedy,Sci-Fi",United States,8.5,Back to the Future,,https://www.imdb.com//title/tt0088763/?ref_=chttp_i_31
"Shameik Moore,Hailee Steinfeld,Brian Tyree Henry",2023,"Miles Morales catapults across the multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Mi...",2h 20m,"Animation,Action,Adventure",United States,8.6,Spider-Man: Across the Spider-Verse,,https://www.imdb.com//title/tt9362722/?ref_=chttp_i_35
"Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele",2002,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",2h 10m,"Crime,Drama",Brazil,8.6,City of God,Original title: Cidade de Deus,https://www.imdb.com//title/tt0317248/?ref_=chttp_i_26
"Tom Hanks,Michael Clarke Duncan,David Morse",1999,"A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to hel...",3h 9m,"Crime,Drama,Fantasy",United States,8.6,The Green Mile,,https://www.imdb.com//title/tt0120689/?ref_=chttp_i_28
"Tom Hanks,Matt Damon,Tom Sizemore",1998,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",2h 49m,"Drama,War",United States,8.6,Saving Private Ryan,,https://www.imdb.com//title/tt0120815/?ref_=chttp_i_25
"Jodie Foster,Anthony Hopkins,Scott Glenn",1991,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",1h 58m,"Crime,Drama,Thriller",United States,8.6,The Silence of the Lambs,,https://www.imdb.com//title/tt0102926/?ref_=chttp_i_24
"Ajay Devgn,Shriya Saran,Tabu",2015,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",2h 43m,"Crime,Drama,Mystery",India,8.2,Drishyam,,https://www.imdb.com//title/tt4430212/?ref_=chttp_i_250
"Matthew McConaughey,Anne Hathaway,Jessica Chastain",2014,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2h 49m,"Adventure,Drama,Sci-Fi",United States,8.7,Interstellar,,https://www.imdb.com//title/tt0816692/?ref_=chttp_i_21
"Scott Weinger,Robin Williams,Linda Larkin",1992,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,1h 30m,"Animation,Adventure,Comedy",United States,8.0,Aladdin,,https://www.imdb.com//title/tt0103639/?ref_=chttp_i_249
"James Stewart,Donna Reed,Lionel Barrymore",1946,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,2h 10m,"Drama,Family,Fantasy",United States,8.6,It's a Wonderful Life,,https://www.imdb.com//title/tt0038650/?ref_=chttp_i_22
"Toshirô Mifune,Takashi Shimura,Keiko Tsushima",1954,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",3h 27m,"Action,Drama",Japan,8.6,Seven Samurai,Original title: Shichinin no samurai,https://www.imdb.com//title/tt0047478/?ref_=chttp_i_23
"Clark Gable,Claudette Colbert,Walter Connolly",1934,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behin...",1h 45m,"Comedy,Romance",United States,8.1,It Happened One Night,,https://www.imdb.com//title/tt0025316/?ref_=chttp_i_247
"Eli Marienthal,Harry Connick Jr.,Jennifer Aniston",1999,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,1h 26m,"Animation,Action,Adventure",United States,8.1,The Iron Giant,,https://www.imdb.com//title/tt0129167/?ref_=chttp_i_245
"Kevin Costner,Mary McDonnell,Graham Greene",1990,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.",3h 1m,"Adventure,Drama,Western",United States,8.0,Dances with Wolves,,https://www.imdb.com//title/tt0099348/?ref_=chttp_i_248
"Paul Newman,George Kennedy,Strother Martin",1967,"A laid-back Southern man is sentenced to two years in a rural prison, but refuses to conform.",2h 7m,"Crime,Drama",United States,8.1,Cool Hand Luke,,https://www.imdb.com//title/tt0061512/?ref_=chttp_i_244
"Emilio Echevarría,Gael García Bernal,Goya Toledo",2000,"An amateur dog fighter, a supermodel, and a derelict assassin, all separately struggling to find love, find their lives transformed by a devastating car wreck in Mexico City.",2h 34m,"Drama,Thriller",Mexico,8.1,Amores Perros,Original title: Amores perros,https://www.imdb.com//title/tt0245712/?ref_=chttp_i_242
"Laurence Olivier,Joan Fontaine,George Sanders",1940,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,2h 10m,"Drama,Mystery,Romance",United States,8.1,Rebecca,,https://www.imdb.com//title/tt0032976/?ref_=chttp_i_243
"Bill Murray,Andie MacDowell,Chris Elliott",1993,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",1h 41m,"Comedy,Drama,Fantasy",United States,8.0,Groundhog Day,,https://www.imdb.com//title/tt0107048/?ref_=chttp_i_241
"Brahim Hadjadj,Jean Martin,Yacef Saadi",1966,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",2h 1m,"Drama,War",Italy,8.1,The Battle of Algiers,Original title: La battaglia di Algeri,https://www.imdb.com//title/tt0058946/?ref_=chttp_i_240
"Henry Fonda,Jane Darwell,John Carradine",1940,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great...",2h 9m,Drama,United States,8.1,The Grapes of Wrath,,https://www.imdb.com//title/tt0032551/?ref_=chttp_i_239
"Carole Lombard,Jack Benny,Robert Stack",1942,"During the German occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",1h 39m,"Comedy,Romance,War",United States,8.1,To Be or Not to Be,,https://www.imdb.com//title/tt0035446/?ref_=chttp_i_238
"Viola Davis,Emma Stone,Octavia Spencer",2011,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and th...",2h 26m,Drama,United States,8.1,The Help,,https://www.imdb.com//title/tt1454029/?ref_=chttp_i_246
"Kim Min-hee,Ha Jung-woo,Cho Jin-woong",2016,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",2h 25m,"Drama,Romance,Thriller",South Korea,8.1,The Handmaiden,Original title: Ah-ga-ssi,https://www.imdb.com//title/tt4016934/?ref_=chttp_i_236
"Emile Hirsch,Vince Vaughn,Catherine Keener",2007,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ...",2h 28m,"Adventure,Biography,Drama",United States,8.1,Into the Wild,,https://www.imdb.com//title/tt0758758/?ref_=chttp_i_235
"Julie Andrews,Christopher Plummer,Eleanor Parker",1965,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,2h 52m,"Biography,Drama,Family",United States,8.1,The Sound of Music,,https://www.imdb.com//title/tt0059742/?ref_=chttp_i_237
"Çetin Tekindor,Fikret Kuskan,Hümeyra",2005,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,1h 52m,"Drama,Family",Turkey,8.2,My Father and My Son,Original title: Babam ve Oglum,https://www.imdb.com//title/tt0476735/?ref_=chttp_i_234
"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa",2009,"Professor Wilson discovers a lost Akita puppy on his way home. Despite objections from his wife, Hachi endears himself to the family and grows to be Parker's loyal companion. As their bond g...",1h 33m,"Biography,Drama,Family",United Kingdom,8.1,Hachi: A Dog's Tale,,https://www.imdb.com//title/tt1028532/?ref_=chttp_i_233
"Judy Garland,Frank Morgan,Ray Bolger",1939,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can retu...",1h 42m,"Adventure,Family,Fantasy",United States,8.1,The Wizard of Oz,,https://www.imdb.com//title/tt0032138/?ref_=chttp_i_231
"Craig T. Nelson,Samuel L. Jackson,Holly Hunter",2004,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",1h 55m,"Animation,Action,Adventure",United States,8.0,The Incredibles,,https://www.imdb.com//title/tt0317705/?ref_=chttp_i_232
"Wil Wheaton,River Phoenix,Corey Feldman",1986,A writer recounts a childhood journey with his friends to find the body of a missing boy.,1h 29m,"Adventure,Comedy,Drama",United States,8.1,Stand by Me,,https://www.imdb.com//title/tt0092005/?ref_=chttp_i_230
"Daniel Brühl,Chris Hemsworth,Olivia Wilde",2013,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,2h 3m,"Action,Biography,Drama",United Kingdom,8.1,Rush,,https://www.imdb.com//title/tt1979320/?ref_=chttp_i_228
"Faye Dunaway,William Holden,Peter Finch",1976,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",2h 1m,Drama,United States,8.1,Network,,https://www.imdb.com//title/tt0074958/?ref_=chttp_i_229
"Johnny Depp,Geoffrey Rush,Orlando Bloom",2003,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",2h 23m,"Action,Adventure,Fantasy",United States,8.1,Pirates of the Caribbean: The Curse of the Black Pearl,,https://www.imdb.com//title/tt0325980/?ref_=chttp_i_227
"Suriya,Lijo Mol Jose,Manikandan K.",2021,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",2h 44m,"Crime,Drama,Mystery",India,8.7,Jai Bhim,,https://www.imdb.com//title/tt15097216/?ref_=chttp_i_225
"Myrna Loy,Dana Andrews,Fredric March",1946,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",2h 50m,"Drama,Romance,War",United States,8.1,The Best Years of Our Lives,,https://www.imdb.com//title/tt0036868/?ref_=chttp_i_224
"Vincent Cassel,Hubert Koundé,Saïd Taghmaoui",1995,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,1h 38m,"Crime,Drama",France,8.1,La haine,,https://www.imdb.com//title/tt0113247/?ref_=chttp_i_223
"Ellen Burstyn,Max von Sydow,Linda Blair",1973,"When a young girl is possessed by a mysterious entity, her mother seeks the help of two Catholic priests to save her life.",2h 2m,Horror,United States,8.1,The Exorcist,,https://www.imdb.com//title/tt0070047/?ref_=chttp_i_226
"Ethan Hawke,Julie Delpy,Vernon Dobtcheff",2004,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",1h 20m,"Drama,Romance",France,8.1,Before Sunset,,https://www.imdb.com//title/tt0381681/?ref_=chttp_i_222
"Arnold Schwarzenegger,Linda Hamilton,Michael Biehn",1984,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn so...",1h 47m,"Action,Adventure,Sci-Fi",United Kingdom,8.1,The Terminator,,https://www.imdb.com//title/tt0088247/?ref_=chttp_i_220
"Maria Falconetti,Eugene Silvain,André Berley",1928,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.",1h 54m,"Biography,Drama,History",France,8.1,The Passion of Joan of Arc,Original title: La passion de Jeanne d'Arc,https://www.imdb.com//title/tt0019254/?ref_=chttp_i_221
"Charlie Sheen,Tom Berenger,Willem Dafoe",1986,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th...",2h,"Drama,War",United States,8.1,Platoon,,https://www.imdb.com//title/tt0091763/?ref_=chttp_i_219
"Don Cheadle,Sophie Okonedo,Joaquin Phoenix",2004,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",2h 1m,"Biography,Drama,History",United Kingdom,8.1,Hotel Rwanda,,https://www.imdb.com//title/tt0395169/?ref_=chttp_i_218
"Mark Ruffalo,Michael Keaton,Rachel McAdams",2015,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",2h 9m,"Biography,Crime,Drama",United States,8.1,Spotlight,,https://www.imdb.com//title/tt1895587/?ref_=chttp_i_217
"Jeff Bridges,John Goodman,Julianne Moore",1998,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",1h 57m,"Comedy,Crime",United States,8.1,The Big Lebowski,,https://www.imdb.com//title/tt0118715/?ref_=chttp_i_214
"Sylvester Stallone,Talia Shire,Burt Young",1976,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,2h,"Drama,Sport",United States,8.1,Rocky,,https://www.imdb.com//title/tt0075148/?ref_=chttp_i_215
"Brie Larson,Jacob Tremblay,Sean Bridgers",2015,"A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",1h 58m,"Drama,Thriller",Ireland,8.1,Room,,https://www.imdb.com//title/tt3170832/?ref_=chttp_i_213
"Hugh Jackman,Patrick Stewart,Dafne Keen",2017,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s...",2h 17m,"Action,Drama,Sci-Fi",United States,8.1,Logan,,https://www.imdb.com//title/tt3315342/?ref_=chttp_i_216
"Max von Sydow,Gunnar Björnstrand,Bengt Ekerot",1957,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",1h 36m,"Drama,Fantasy",Sweden,8.1,The Seventh Seal,Original title: Det sjunde inseglet,https://www.imdb.com//title/tt0050976/?ref_=chttp_i_212
"Matt Damon,Christian Bale,Jon Bernthal",2019,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2...,2h 32m,"Action,Biography,Drama",United States,8.1,Ford v Ferrari,,https://www.imdb.com//title/tt1950186/?ref_=chttp_i_209
"Chishû Ryû,Chieko Higashiyama,Sô Yamamura",1953,"An old couple visit their children and grandchildren in the city, but receive little attention.",2h 16m,Drama,Japan,8.1,Tokyo Story,Original title: Tôkyô monogatari,https://www.imdb.com//title/tt0046438/?ref_=chttp_i_211
"James Stewart,Jean Arthur,Claude Rains",1939,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries...",2h 9m,"Comedy,Drama",United States,8.1,Mr. Smith Goes to Washington,,https://www.imdb.com//title/tt0031679/?ref_=chttp_i_208
"Yves Montand,Charles Vanel,Peter van Eyck",1953,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",2h 11m,"Adventure,Drama,Thriller",France,8.2,The Wages of Fear,Original title: Le salaire de la peur,https://www.imdb.com//title/tt0046268/?ref_=chttp_i_204
"Brad Garrett,Lou Romano,Patton Oswalt",2007,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,1h 51m,"Animation,Adventure,Comedy",United States,8.1,Ratatouille,,https://www.imdb.com//title/tt0382932/?ref_=chttp_i_210
"Toni Collette,Philip Seymour Hoffman,Eric Bana",2009,"In 1976 Melbourne, a lonely 8-year-old girl strikes up a correspondence with an unlikely pen pal: a severely obese 44-year-old New Yorker with Asperger's syndrome.",1h 32m,"Animation,Comedy,Drama",Australia,8.1,Mary and Max,Original title: Mary and Max.,https://www.imdb.com//title/tt0978762/?ref_=chttp_i_207
"Roy Scheider,Robert Shaw,Richard Dreyfuss",1975,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",2h 4m,"Adventure,Mystery,Thriller",United States,8.1,Jaws,,https://www.imdb.com//title/tt0073195/?ref_=chttp_i_205
"Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse",2010,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",1h 38m,"Animation,Action,Adventure",United States,8.1,How to Train Your Dragon,,https://www.imdb.com//title/tt0892769/?ref_=chttp_i_206
"Victor Sjöström,Bibi Andersson,Ingrid Thulin",1957,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",1h 31m,"Drama,Romance",Sweden,8.1,Wild Strawberries,Original title: Smultronstället,https://www.imdb.com//title/tt0050986/?ref_=chttp_i_203
"Orson Welles,Joseph Cotten,Alida Valli",1949,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",1h 33m,"Film-Noir,Mystery,Thriller",United Kingdom,8.1,The Third Man,,https://www.imdb.com//title/tt0041959/?ref_=chttp_i_202
"Darío Grandinetti,María Marull,Mónica Villa",2014,Six short stories that explore the extremities of human behavior involving people in distress.,2h 2m,"Comedy,Drama,Thriller",Argentina,8.1,Wild Tales,Original title: Relatos salvajes,https://www.imdb.com//title/tt3011894/?ref_=chttp_i_198
